"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"566","Moises Henriques","All-Rounder",22500000,"Royal Challengers Bangalore",2013,"Overseas","RFM","Pacer",63,1096,"182.4",1415,54,"7.75","20.30"
"567","Moises Henriques","All-Rounder",1e+07,"Sunrisers Hyderabad",2014,"Overseas","RFM","Pacer",63,1096,"182.4",1415,54,"7.75","20.30"
"568","Moises Henriques","All-Rounder",1e+07,"Kings XI Punjab",2019,"Overseas","RFM","Pacer",63,1096,"182.4",1415,54,"7.75","20.30"
"569","Moises Henriques","All-Rounder",4.2e+07,"Punjab Kings",2021,"Overseas","RFM","Pacer",63,1096,"182.4",1415,54,"7.75","20.30"
"570","Monu Singh","Bowler",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","Morne Morkel","Bowler",2.8e+07,"Kolkata Knight Riders",2014,"Overseas","RFM","Pacer",47,1072,"178.4",1465,45,"8.20","23.82"
"572","Mujeeb Zadran","Bowler",4e+07,"Kings XI Punjab",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","Mujeeb Zadran","Bowler",1.5e+07,"Sunrisers Hyderabad",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","Mukesh Choudhary","Bowler",2e+06,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","Munaf Patel","Bowler",3e+06,"Gujarat Lions",2017,"Indian","RFM","Pacer",4,90,"15.0",137,3,"9.13","30.00"
"576","Murali Kartik","Bowler",1e+07,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","Murali Vijay","Batsman",5e+07,"Delhi Daredevils",2014,"Indian","OS","Spinner",5,48,"8.0",58,0,"7.25",NA
"578","Murali Vijay","Batsman",3e+07,"Kings XI Punjab",2015,"Indian","OS","Spinner",5,48,"8.0",58,0,"7.25",NA
"579","Murali Vijay","Batsman",2e+07,"Chennai Super Kings",2018,"Indian","OS","Spinner",5,48,"8.0",58,0,"7.25",NA
"580","Murugan Ashwin","Bowler",1.6e+07,"Mumbai Indians",2022,"Indian","LS","Spinner",10,171,"28.3",241,7,"8.46","24.43"
"581","Mustafizur Rahman","Bowler",1.4e+07,"Sunrisers Hyderabad",2016,"Overseas","LFM","Pacer",31,718,"119.4",782,43,"6.53","16.70"
"582","Mustafizur Rahman","Bowler",2.2e+07,"Mumbai Indians",2018,"Overseas","LFM","Pacer",31,718,"119.4",782,43,"6.53","16.70"
"583","Mustafizur Rahman","Bowler",1e+07,"Rajasthan Royals",2021,"Overseas","LFM","Pacer",31,718,"119.4",782,43,"6.53","16.70"
"584","Mustafizur Rahman","Bowler",2e+07,"Delhi Capitals",2022,"Overseas","LFM","Pacer",31,718,"119.4",782,43,"6.53","16.70"
"585","Muttiah Muralitharan","Bowler",1e+07,"Royal Challengers Bangalore",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","N Jagadeesan","Wicket Keeper",2e+06,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","N. Jagadeesan","Wicket Keeper",2e+06,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","N. Tilak Varma","All-Rounder",1.7e+07,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Naman Ojha","Wicket Keeper",5e+06,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Naman Ojha","Wicket Keeper",1.4e+07,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Nathan Coulter-Nile","Bowler",33750000,"Mumbai Indians",2013,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"592","Nathan Coulter-Nile","Bowler",42500000,"Delhi Daredevils",2014,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"593","Nathan Coulter-Nile","Bowler",3.5e+07,"Kolkata Knight Riders",2017,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"594","Nathan Coulter-Nile","Bowler",2.2e+07,"Royal Challengers Bangalore",2018,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"595","Nathan Coulter-Nile","Bowler",8e+07,"Mumbai Indians",2020,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"596","Nathan Coulter-Nile","Bowler",5e+07,"Mumbai Indians",2021,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"597","Nathan Coulter-Nile","Bowler",2e+07,"Rajasthan Royals",2022,"Overseas","RFM","Pacer",45,1015,"169.1",1306,58,"7.72","17.50"
"598","Nathan Ellis","Bowler",7500000,"Punjab Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Nathan McCullum","Bowler",7500000,"Sunrisers Hyderabad",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","Nathu Singh","Bowler",3.2e+07,"Mumbai Indians",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","Nathu Singh","Bowler",5e+06,"Gujarat Lions",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","Nathu Singh","Bowler",2e+06,"Delhi Capitals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","Navdeep Saini","Bowler",1e+06,"Delhi Daredevils",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Navdeep Saini","Bowler",3e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Navdeep Saini","Bowler",2.6e+07,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Nic Maddinson","Batsman",5e+06,"Royal Challengers Bangalore",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Nicolas Pooran","Wicket Keeper",107500000,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","Nicolas Pooran","Wicket Keeper",3e+06,"Mumbai Indians",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","Nicolas Pooran","Wicket Keeper",4.2e+07,"Kings XI Punjab",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","Nidheesh M D Dinesan","Bowler",2e+06,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Nikhil Shankar Naik","Wicket Keeper",3e+06,"Kings XI Punjab",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Nikhil Shankar Naik","Wicket Keeper",2e+06,"Kolkata Knight Riders",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","Nikhil Shankar Naik","Wicket Keeper",2e+06,"Kolkata Knight Riders",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Nitish Rana","All-Rounder",1e+06,"Mumbai Indians",2015,"Indian","OS","Spinner",1,6,"1.0",3,0,"3.00",NA
"615","Nitish Rana","All-Rounder",3.4e+07,"Kolkata Knight Riders",2018,"Indian","OS","Spinner",1,6,"1.0",3,0,"3.00",NA
"616","Nitish Rana","All-Rounder",8e+07,"Kolkata Knight Riders",2022,"Indian","OS","Spinner",1,6,"1.0",3,0,"3.00",NA
"617","Noor Ahmad","Bowler",3e+06,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Obed Mccoy","Bowler",7500000,"Rajasthan Royals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Odean Smith","All-Rounder",6e+07,"Punjab Kings",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Oshane Thomas","Bowler",1.1e+07,"Rajasthan Royals",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Oshane Thomas","Bowler",5e+06,"Rajasthan Royals",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Pankaj Jaswal","All-Rounder",2e+06,"Mumbai Indians",2019,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Pankaj Singh","Bowler",11250000,"Royal Challengers Bangalore",2013,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Paras Dogra","Batsman",1e+06,"Gujarat Lions",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Pardeep Sahu","All-Rounder",1e+06,"Rajasthan Royals",2015,"Indian","LS","Spinner",5,105,"17.3",146,3,"8.34","35.00"
"626","Pardeep Sahu","All-Rounder",1e+06,"Kings XI Punjab",2016,"Indian","LS","Spinner",5,105,"17.3",146,3,"8.34","35.00"
"627","Pardeep Sahu","Bowler",2e+06,"Kings XI Punjab",2018,"Indian","LS","Spinner",5,105,"17.3",146,3,"8.34","35.00"
"628","Parthiv Patel","Wicket Keeper",1.4e+07,"Royal Challengers Bangalore",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Parthiv Patel","Wicket Keeper",1.7e+07,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Parveez Rasool","All-Rounder",9500000,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Parvinder Awana","Bowler",6500000,"Kings XI Punjab",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Pat Cummins","Bowler",5.4e+07,"Mumbai Indians",2018,"Overseas","RFM","Pacer",19,412,"68.4",561,17,"8.17","24.24"
"633","Pat Cummins","All-Rounder",1.55e+08,"Kolkata Knight Riders",2020,"Overseas","RFM","Pacer",19,412,"68.4",561,17,"8.17","24.24"
"634","Pat Cummins","All-Rounder",72500000,"Kolkata Knight Riders",2022,"Overseas","RFM","Pacer",19,412,"68.4",561,17,"8.17","24.24"
"635","Pat Cummins","Bowler",1e+07,"Kolkata Knight Riders",2014,"Overseas","RFM","Pacer",19,412,"68.4",561,17,"8.17","24.24"
"636","Pat Cummins","Bowler",4.5e+07,"Delhi Daredevils",2017,"Overseas","RFM","Pacer",19,412,"68.4",561,17,"8.17","24.24"
"637","Pavan Deshpande","All-Rounder",2e+06,"Royal Challengers Bangalore",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Pavan Deshpande","All-Rounder",2e+06,"Royal Challengers Bangalore",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Pawan Negi","Bowler",1e+06,"Chennai Super Kings",2014,"Indian","SLA","Spinner",19,318,"53.0",455,8,"8.58","39.75"
"640","Pawan Negi","All-Rounder",8.5e+07,"Delhi Daredevils",2016,"Indian","SLA","Spinner",19,318,"53.0",455,8,"8.58","39.75"
"641","Pawan Negi","All-Rounder",1e+07,"Royal Challengers Bangalore",2017,"Indian","SLA","Spinner",19,318,"53.0",455,8,"8.58","39.75"
"642","Pawan Negi","All-Rounder",1e+07,"Royal Challengers Bangalore",2018,"Indian","SLA","Spinner",19,318,"53.0",455,8,"8.58","39.75"
"643","Pawan Negi","All-Rounder",5e+06,"Kolkata Knight Riders",2021,"Indian","SLA","Spinner",19,318,"53.0",455,8,"8.58","39.75"
"644","Pawan Suyal","Bowler",1e+06,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Pawan Suyal","Bowler",1e+06,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Peter Handscomb","Wicket Keeper",3e+06,"Rising Pune Supergiant",2016,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Philip Hughes","Batsman",7500000,"Mumbai Indians",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Piyush Chawla","Bowler",42500000,"Kolkata Knight Riders",2014,"Indian","LS","Spinner",51,1009,"168.1",1263,47,"7.51","21.47"
"649","Piyush Chawla","Bowler",4.2e+07,"Kolkata Knight Riders",2018,"Indian","LS","Spinner",51,1009,"168.1",1263,47,"7.51","21.47"
"650","Piyush Chawla","Bowler",67500000,"Chennai Super Kings",2020,"Indian","LS","Spinner",51,1009,"168.1",1263,47,"7.51","21.47"
"651","Piyush Chawla","Bowler",2.4e+07,"Mumbai Indians",2021,"Indian","LS","Spinner",51,1009,"168.1",1263,47,"7.51","21.47"
"652","Prabhsimran Singh","Wicket Keeper",4.8e+07,"Kings XI Punjab",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Prabhsimran Singh","Wicket Keeper",5500000,"Kings XI Punjab",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Prabhsimran Singh","Wicket Keeper",6e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Pradeep Sangwan","All-Rounder",2e+06,"Gujarat Lions",2016,"Indian","LFM","Pacer",4,48,"8.0",100,0,"12.50",NA
"656","Pradeep Sangwan","Bowler",1.5e+07,"Mumbai Indians",2018,"Indian","LFM","Pacer",4,48,"8.0",100,0,"12.50",NA
"657","Pradeep Sangwan","All-Rounder",2e+06,"Gujarat Titans",2022,"Indian","LFM","Pacer",4,48,"8.0",100,0,"12.50",NA
"658","Pragyan Ojha","Bowler",32500000,"Mumbai Indians",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","Pragyan Ojha","Bowler",5e+06,"Mumbai Indians",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Prasanth Padmanabhan","All-Rounder",1e+06,"Sunrisers Hyderabad",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Prasanth Parameswaran","Bowler",3e+06,"Sunrisers Hyderabad",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Prashant Chopra","Wicket Keeper",2e+06,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Prashant Solanki","Bowler",1.2e+07,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Prasidh Krishna","Bowler",1e+08,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","Pratham Singh","All-Rounder",1e+06,"Gujarat Lions",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Pratham Singh","Batsman",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Pratyush Singh","All-Rounder",1e+06,"Chennai Super Kings",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Pratyush Singh","All-Rounder",1e+06,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Praveen Dubey","All-Rounder",3500000,"Royal Challengers Bangalore",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Praveen Dubey","All-Rounder",1e+06,"Royal Challengers Bangalore",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Praveen Kumar","Bowler",2.2e+07,"Sunrisers Hyderabad",2015,"Indian","RFM","Pacer",46,935,"155.5",1181,31,"7.58","30.16"
"672","Praveen Kumar","Bowler",3.5e+07,"Gujarat Lions",2016,"Indian","RFM","Pacer",46,935,"155.5",1181,31,"7.58","30.16"
"673","Pravin Dubey","All-Rounder",5e+06,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Pravin Tambe","Bowler",1e+06,"Rajasthan Royals",2014,"Indian","LS","Spinner",33,660,"110.0",853,28,"7.75","23.57"
"675","Pravin Tambe","Bowler",2e+06,"Gujarat Lions",2016,"Indian","LS","Spinner",33,660,"110.0",853,28,"7.75","23.57"
"676","Pravin Tambe","Bowler",1e+06,"Sunrisers Hyderabad",2017,"Indian","LS","Spinner",33,660,"110.0",853,28,"7.75","23.57"
"677","Pravin Tambe","Bowler",2e+06,"Kolkata Knight Riders",2020,"Indian","LS","Spinner",33,660,"110.0",853,28,"7.75","23.57"
"678","Prayas Ray Barman","All-Rounder",1.5e+07,"Royal Challengers Bangalore",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Prerak Mankad","All-Rounder",2e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Prince Balwant Rai Singh","All-Rounder",2e+06,"Mumbai Indians",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Prithvi Raj Yarra","Bowler",2e+06,"Kolkata Knight Riders",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Prithvi Shaw","Batsman",1.2e+07,"Delhi Daredevils",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Priyam Garg","Batsman",1.9e+07,"Sunrisers Hyderabad",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Priyam Garg","Batsman",2e+06,"Sunrisers Hyderabad",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Quinton De Kock","Wicket Keeper",1500000,"Sunrisers Hyderabad",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Quinton De Kock","Wicket Keeper",3.5e+07,"Delhi Daredevils",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Quinton De Kock","Wicket Keeper",2.8e+07,"Royal Challengers Bangalore",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","Quinton De Kock","Wicket Keeper",67500000,"Lucknow Super Giants",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","R Samarth","Batsman",2e+06,"Sunrisers Hyderabad",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","R. Ashwin","All-Rounder",5e+07,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","R. Sai Kishore","Bowler",2e+06,"Chennai Super Kings",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","R. Sai Kishore","Bowler",3e+07,"Gujarat Titans",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","R. Sanjay Yadav","All-Rounder",1e+06,"Kolkata Knight Riders",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Rahul Ajay Tripathi","All-Rounder",1e+06,"Rising Pune Supergiant",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Rahul Buddhi","Batsman",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Rahul Chahar","Bowler",1e+06,"Rising Pune Supergiant",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Rahul Chahar","Bowler",1.9e+07,"Mumbai Indians",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","Rahul Chahar","Bowler",52500000,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","Rahul Sharma","Bowler",1.9e+07,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","Rahul Sharma","Bowler",3e+06,"Chennai Super Kings",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","Rahul Shukla","Bowler",4e+06,"Delhi Daredevils",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","Rahul Tewatia","All-Rounder",1e+06,"Rajasthan Royals",2014,"Indian","LS","Spinner",4,72,"12.0",90,3,"7.50","24.00"
"703","Rahul Tewatia","All-Rounder",2500000,"Kings XI Punjab",2017,"Indian","LS","Spinner",4,72,"12.0",90,3,"7.50","24.00"
"704","Rahul Tewatia","All-Rounder",3e+07,"Delhi Daredevils",2018,"Indian","LS","Spinner",4,72,"12.0",90,3,"7.50","24.00"
"705","Rahul Tewatia","All-Rounder",9e+07,"Gujarat Titans",2022,"Indian","LS","Spinner",4,72,"12.0",90,3,"7.50","24.00"
"706","Rahul Tripathi","Batsman",3.4e+07,"Rajasthan Royals",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","Rahul Tripathi","Batsman",6e+06,"Kolkata Knight Riders",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","Rahul Tripathi","Batsman",8.5e+07,"Sunrisers Hyderabad",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Raj Angad Bawa","All-Rounder",2e+07,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","Rajagopal Sathish","All-Rounder",2e+06,"Kolkata Knight Riders",2016,"Indian","RFM","Pacer",6,60,"10.0",110,1,"11.00","60.00"
"711","Rajat Bhatia","All-Rounder",1.7e+07,"Rajasthan Royals",2014,"Indian","RFM","Pacer",39,725,"120.5",905,29,"7.49","25.00"
"712","Rajat Bhatia","All-Rounder",6e+06,"Rising Pune Supergiant",2016,"Indian","RFM","Pacer",39,725,"120.5",905,29,"7.49","25.00"
"713","Rajat Patidar","Batsman",2e+06,"Royal Challengers Bangalore",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","Rajvardhan Hangargekar","All-Rounder",1.5e+07,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","Ramandeep Singh","All-Rounder",2e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","Ramesh Kumar","Batsman",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","Ranganath Vinay Kumar","Bowler",2.8e+07,"Kolkata Knight Riders",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","Ranganath Vinay Kumar","Bowler",1e+07,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","Rashid Khan Arman","Bowler",4e+07,"Sunrisers Hyderabad",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","Rashid Khan Arman","Bowler",9e+07,"Sunrisers Hyderabad",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","Rasikh Dar","Bowler",2e+06,"Mumbai Indians",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","Rasikh Dar","Bowler",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","Rassie Van Der Dussen","Batsman",1e+07,"Rajasthan Royals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","Ravi Bishnoi","Bowler",2e+07,"Kings XI Punjab",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","Ravi Bopara","All-Rounder",1e+07,"Sunrisers Hyderabad",2015,"Indian","RFM","Pacer",63,1231,"205.1",1541,55,"7.51","22.38"
"726","Ravi Rampaul","Bowler",21750000,"Royal Challengers Bangalore",2013,"Overseas","RFM","Pacer",21,437,"72.5",541,27,"7.43","16.19"
"727","Ravi Rampaul","Bowler",9e+06,"Royal Challengers Bangalore",2014,"Overseas","RFM","Pacer",21,437,"72.5",541,27,"7.43","16.19"
"728","Ravichandran Ashwin","All-Rounder",7.6e+07,"Kings XI Punjab",2018,"Overseas","OS","Spinner",88,1782,"297.0",1998,89,"6.73","20.02"
"729","Ricky Bhui","Batsman",1e+06,"Sunrisers Hyderabad",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","Ricky Bhui","Batsman",2e+06,"Sunrisers Hyderabad",2018,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","Ricky Ponting","Batsman",3e+07,"Mumbai Indians",2013,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","Riley Meredith","Bowler",8e+07,"Punjab Kings",2021,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","Riley Meredith","Bowler",1e+07,"Mumbai Indians",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","Rinku Singh","Batsman",1e+06,"Kings XI Punjab",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","Rinku Singh","Batsman",8e+06,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","Rinku Singh","Batsman",5500000,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","Ripal Patel","All-Rounder",2e+06,"Delhi Capitals",2021,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"738","Ripal Patel","All-Rounder",2e+06,"Delhi Capitals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","Rishabh Pant","Wicket Keeper",1.9e+07,"Delhi Daredevils",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Rishi Dhawan","All-Rounder",3e+07,"Kings XI Punjab",2014,"Indian","RFM","Pacer",26,512,"85.2",682,19,"7.99","26.95"
"741","Rishi Dhawan","All-Rounder",5500000,"Kolkata Knight Riders",2017,"Indian","RFM","Pacer",26,512,"85.2",682,19,"7.99","26.95"
"742","Rishi Dhawan","All-Rounder",5500000,"Punjab Kings",2022,"Indian","RFM","Pacer",26,512,"85.2",682,19,"7.99","26.95"
"743","Riyan Parag","All-Rounder",2e+06,"Rajasthan Royals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","Riyan Parag","All-Rounder",3.8e+07,"Rajasthan Royals",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","Robin Uthappa","Batsman",5e+07,"Kolkata Knight Riders",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","Robin Uthappa","Batsman",6.4e+07,"Kolkata Knight Riders",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","Robin Uthappa","Batsman",3e+07,"Rajasthan Royals",2020,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","Robin Uthappa","Batsman",2e+07,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","Romario Shepherd","All-Rounder",77500000,"Sunrisers Hyderabad",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","Ronit More","Bowler",1e+06,"Chennai Super Kings",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","Ross Taylor","Batsman",2e+07,"Delhi Daredevils",2014,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","Rovman Powell","All-Rounder",3e+06,"Kolkata Knight Riders",2017,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","Rovman Powell","Batsman",2.8e+07,"Delhi Capitals",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","Rudra Pratap Singh","Bowler",3e+07,"Royal Challengers Bangalore",2013,"Indian","LFM","Pacer",15,311,"51.5",446,16,"8.60","19.44"
"755","Rudra Pratap Singh","Bowler",3e+06,"Rising Pune Supergiant",2016,"Indian","LFM","Pacer",15,311,"51.5",446,16,"8.60","19.44"
"756","Ruturaj Gaikwad","Batsman",2e+06,"Chennai Super Kings",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
