"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"113","Axar Rajesh Patel","All-Rounder",5e+07,"Delhi Capitals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Ayush Badoni","All-Rounder",2e+06,"Lucknow Super Giants",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","B. Sai Sudharsan","All-Rounder",2e+06,"Gujarat Titans",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Baba Aparajith","Batsman",1e+06,"Chennai Super Kings",2014,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Baba Aparajith","All-Rounder",1e+06,"Rising Pune Supergiant",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Baba Indrajith","Wicket Keeper",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Baltej Dhanda","Bowler",2e+06,"Punjab Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Bandaru Ayyappa","Bowler",2e+06,"Delhi Capitals",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Barinder Singh Saran","Bowler",1e+06,"Rajasthan Royals",2015,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Barinder Singh Sran","Bowler",1.2e+07,"Sunrisers Hyderabad",2016,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Barinder Singh Sran","Bowler",2.2e+07,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Barinder Singh Sran","Bowler",3.4e+07,"Mumbai Indians",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Basil Thampi","Bowler",8500000,"Gujarat Lions",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Basil Thampi","Bowler",9500000,"Sunrisers Hyderabad",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Basil Thampi","Bowler",3e+06,"Mumbai Indians",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Ben Cutting","Bowler",8e+06,"Rajasthan Royals",2014,"Overseas","RFM","Pacer",38,700,"116.4",994,31,"8.52","22.58"
